#      Train        Test
    0.148561     0.238636 
    0.245125     0.329545 
    0.272981     0.359848 
    0.354689     0.416667 
    0.398329     0.454545 
    0.402043     0.484848 
    0.409471      0.44697 
    0.443825     0.473485 
    0.476323     0.477273 
    0.467967     0.507576 
    0.494893     0.515152 
    0.541318     0.537879 
    0.541318     0.541667 
     0.54689     0.564394 
    0.564531      0.57197 
    0.592386     0.579545 
    0.595172     0.647727 
    0.612813     0.598485 
    0.618384     0.651515 
    0.638812     0.568182 
    0.609099     0.598485 
    0.638812     0.651515 
    0.650882     0.636364 
    0.629526     0.617424 
    0.647168     0.655303 
    0.665738      0.67803 
    0.668524     0.704545 
     0.68338     0.666667 
     0.66481        0.625 
    0.675023     0.681818 
    0.705664     0.689394 
    0.701021      0.67803 
    0.711235     0.681818 
    0.691736     0.700758 
    0.724234     0.700758 
     0.70195     0.700758 
    0.710306     0.712121 
    0.722377     0.700758 
    0.718663     0.712121 
    0.735376     0.704545 
    0.729805     0.761364 
    0.736305     0.731061 
    0.728877     0.715909 
    0.727948     0.715909 
    0.741876     0.715909 
    0.740019     0.731061 
    0.748375     0.753788 
    0.763231     0.708333 
    0.768802     0.734848 
    0.762303     0.719697 
    0.753018     0.715909 
    0.765088     0.685606 
    0.762303         0.75 
    0.771588     0.715909 
    0.777159     0.731061 
    0.786444     0.753788 
    0.769731     0.723485 
    0.784587     0.731061 
    0.777159     0.761364 
    0.787372     0.765152 
    0.792015         0.75 
    0.778087     0.738636 
    0.790158     0.727273 
    0.790158     0.689394 
    0.802228     0.719697 
    0.787372     0.693182 
    0.788301     0.780303 
    0.804085     0.776515 
    0.792015     0.761364 
    0.795729     0.712121 
    0.812442     0.746212 
    0.817084     0.772727 
    0.812442     0.753788 
    0.834726     0.753788 
    0.815227     0.757576 
    0.806871     0.765152 
    0.828227     0.712121 
    0.829155     0.772727 
    0.820799     0.787879 
    0.824513     0.723485 
    0.821727     0.768939 
      0.8013     0.746212 
    0.840297     0.746212 
    0.833798     0.772727 
    0.830084     0.768939 
    0.843083     0.791667 
    0.831012     0.757576 
    0.828227     0.746212 
    0.841226         0.75 
    0.833798     0.734848 
    0.837512     0.799242 
    0.843083     0.746212 
    0.835655     0.704545 
    0.833798     0.765152 
    0.848654     0.780303 
    0.860724     0.806818 
     0.83844     0.757576 
    0.848654     0.810606 
    0.821727     0.780303 
    0.836583     0.776515 
     0.83844     0.776515 
    0.843083     0.795455 
    0.834726     0.784091 
    0.861653     0.780303 
    0.843083     0.791667 
    0.836583     0.765152 
    0.846797     0.742424 
    0.855153     0.772727 
    0.839369     0.719697 
    0.849582     0.795455 
    0.854225     0.731061 
    0.844011     0.780303 
    0.854225     0.780303 
    0.858867     0.780303 
    0.845868     0.784091 
    0.854225     0.727273 
    0.867224     0.753788 
    0.846797      0.80303 
    0.871866     0.829545 
    0.858867     0.806818 
    0.860724     0.818182 
    0.854225     0.768939 
     0.86351     0.814394 
    0.854225     0.791667 
     0.85701     0.795455 
    0.867224      0.80303 
    0.845868     0.791667 
    0.874652      0.80303 
    0.870938     0.791667 
    0.860724     0.780303 
    0.884865     0.768939 
    0.864438     0.780303 
    0.868152     0.776515 
    0.874652     0.791667 
    0.870938         0.75 
    0.860724     0.761364 
    0.870938     0.761364 
    0.862581     0.772727 
    0.883937     0.784091 
    0.896007      0.80303 
    0.878366     0.761364 
    0.872795     0.787879 
    0.870009     0.806818 
    0.871866      0.80303 
    0.893222     0.784091 
    0.885794     0.776515 
    0.873723     0.791667 
    0.883008     0.719697 
    0.879294     0.768939 
    0.869081     0.780303 
    0.890436     0.772727 
    0.868152     0.772727 
    0.883937      0.80303 
    0.886722         0.75 
    0.888579     0.787879 
    0.883937     0.784091 
    0.884865     0.742424 
    0.884865     0.734848 
    0.885794     0.784091 
    0.878366     0.795455 
    0.887651     0.765152 
    0.884865     0.784091 
    0.883008     0.810606 
    0.888579     0.776515 
    0.883008     0.806818 
    0.873723     0.795455 
    0.889508     0.765152 
     0.89415     0.799242 
    0.896007     0.784091 
    0.898793     0.799242 
    0.879294     0.784091 
    0.889508     0.795455 
    0.883937     0.772727 
    0.896936     0.776515 
    0.916435     0.791667 
    0.889508     0.776515 
    0.892293     0.780303 
     0.89415     0.799242 
    0.890436     0.784091 
    0.887651     0.765152 
     0.89415     0.791667 
    0.876509     0.799242 
    0.906221     0.795455 
    0.889508     0.795455 
    0.879294     0.806818 
    0.898793     0.787879 
    0.896936     0.784091 
    0.891365     0.776515 
    0.896007      0.80303 
    0.906221     0.780303 
    0.899721     0.772727 
    0.899721     0.753788 
    0.888579     0.818182 
    0.892293     0.757576 
    0.886722     0.772727 
    0.890436     0.772727 
    0.908078     0.776515 
    0.896007      0.80303 
    0.899721     0.784091 
     0.89415     0.787879 
    0.897864      0.80303 
    0.903435     0.806818 
    0.914578     0.784091 
    0.884865     0.780303 
    0.895079     0.810606 
    0.896007     0.780303 
    0.899721     0.772727 
    0.897864     0.784091 
    0.886722     0.776515 
    0.908078     0.810606 
    0.904364     0.784091 
    0.892293     0.776515 
    0.892293     0.795455 
    0.904364     0.776515 
    0.908078     0.810606 
    0.903435      0.80303 
    0.895079     0.795455 
    0.897864     0.787879 
    0.898793     0.810606 
    0.896936     0.799242 
    0.901578      0.82197 
    0.897864     0.799242 
    0.908078     0.761364 
    0.905292     0.810606 
    0.903435      0.80303 
    0.912721     0.765152 
    0.904364     0.776515 
    0.907149     0.787879 
    0.901578     0.787879 
    0.902507     0.799242 
    0.910864     0.810606 
    0.922006     0.810606 
    0.915506     0.806818 
    0.907149     0.772727 
    0.908078     0.825758 
    0.914578     0.799242 
     0.90065     0.833333 
    0.926648     0.784091 
    0.911792     0.776515 
    0.921077     0.799242 
    0.912721     0.806818 
    0.909006     0.806818 
    0.914578     0.806818 
    0.920149     0.776515 
    0.903435     0.780303 
    0.914578     0.806818 
    0.905292     0.784091 
    0.908078     0.795455 
    0.907149     0.806818 
    0.913649     0.795455 
    0.909006     0.829545 
    0.917363     0.791667 
    0.920149     0.799242 
    0.922006     0.818182 
    0.920149     0.753788 
    0.921077     0.825758 
    0.914578     0.825758 
