#      Train        Test
   0.0926244     0.152778 
    0.169811     0.256944 
    0.265866        0.375 
    0.315609     0.354167 
    0.354202     0.475694 
    0.417667     0.458333 
    0.433962     0.493056 
     0.43825     0.520833 
    0.474271     0.538194 
    0.498285     0.559028 
    0.515437     0.579861 
    0.519726     0.583333 
    0.536021      0.59375 
    0.563465     0.559028 
     0.57976     0.614583 
    0.574614     0.604167 
     0.57976     0.607639 
    0.603774     0.621528 
    0.607204     0.600694 
    0.603774     0.635417 
    0.581475     0.649306 
    0.637221     0.673611 
    0.625214      0.65625 
    0.640652     0.628472 
    0.621784     0.680556 
    0.653516     0.684028 
    0.657804     0.663194 
    0.657804     0.701389 
     0.65952     0.652778 
    0.656947     0.673611 
    0.673242      0.65625 
    0.679245     0.680556 
    0.681818     0.701389 
    0.683533     0.673611 
     0.67753     0.694444 
     0.69211     0.680556 
    0.684391     0.708333 
    0.698971     0.697917 
    0.702401      0.71875 
    0.689537     0.729167 
    0.693825     0.701389 
    0.692967       0.6875 
    0.709262     0.711806 
    0.717839     0.715278 
    0.714408     0.739583 
    0.715266     0.677083 
    0.728988      0.71875 
    0.716123     0.697917 
     0.70669     0.673611 
    0.729846     0.690972 
    0.727273     0.680556 
    0.720412     0.697917 
     0.73928     0.715278 
    0.719554     0.680556 
    0.729846     0.690972 
    0.733276     0.638889 
    0.734134     0.722222 
    0.728988     0.715278 
    0.736707     0.694444 
    0.738422     0.673611 
     0.74271      0.71875 
    0.722985     0.711806 
    0.746998     0.697917 
    0.744425     0.722222 
    0.734991     0.722222 
    0.747856      0.71875 
    0.753859     0.722222 
     0.73928     0.701389 
    0.755575     0.715278 
     0.76072     0.732639 
    0.740995     0.732639 
    0.769297     0.704861 
    0.754717     0.715278 
    0.754717     0.732639 
    0.753002     0.708333 
    0.759863     0.725694 
    0.764151     0.708333 
    0.752144     0.736111 
    0.765009     0.684028 
    0.788165     0.701389 
    0.766724     0.732639 
    0.765866     0.697917 
    0.772727     0.711806 
    0.765009     0.684028 
    0.762436     0.701389 
    0.784734      0.71875 
    0.777873     0.701389 
    0.768439     0.701389 
    0.779588     0.694444 
    0.765866     0.704861 
      0.7753     0.715278 
    0.789022     0.715278 
    0.782161      0.71875 
    0.779588     0.711806 
    0.790738     0.704861 
    0.771012     0.722222 
    0.786449     0.663194 
    0.781304       0.6875 
    0.796741     0.722222 
    0.787307     0.722222 
    0.795883     0.715278 
    0.781304     0.690972 
    0.789022     0.715278 
    0.790738     0.715278 
    0.784734     0.736111 
    0.802744     0.704861 
    0.795883     0.704861 
    0.783877     0.711806 
    0.797599     0.704861 
    0.798456     0.715278 
    0.798456     0.694444 
    0.798456     0.697917 
    0.815609     0.708333 
    0.806175       0.6875 
    0.801887     0.704861 
    0.805317      0.71875 
    0.806175     0.701389 
    0.798456     0.715278 
    0.791595     0.715278 
    0.808748       0.6875 
    0.812178     0.711806 
    0.798456     0.690972 
     0.80446     0.722222 
    0.810463      0.71875 
    0.805317      0.71875 
     0.80446     0.725694 
    0.806175     0.725694 
    0.802744     0.694444 
    0.794168     0.701389 
    0.795026     0.711806 
    0.799314     0.722222 
    0.815609     0.711806 
    0.801887     0.690972 
    0.805317     0.715278 
    0.805317     0.722222 
    0.795026     0.722222 
    0.815609     0.708333 
    0.811321     0.732639 
    0.817324     0.743056 
    0.806175     0.753472 
    0.802744     0.732639 
    0.821612     0.725694 
    0.813036     0.739583 
    0.816467     0.739583 
    0.827616     0.722222 
    0.828473     0.715278 
    0.817324     0.701389 
    0.803602     0.732639 
    0.819897     0.725694 
    0.815609     0.736111 
     0.82247      0.71875 
    0.824185     0.729167 
    0.824185     0.722222 
    0.815609     0.729167 
    0.828473     0.715278 
    0.812178     0.673611 
    0.813894     0.729167 
     0.80446     0.711806 
    0.819897     0.729167 
    0.816467      0.71875 
    0.818182     0.739583 
     0.82247     0.722222 
    0.821612     0.697917 
    0.817324      0.71875 
    0.819039     0.722222 
    0.825901     0.715278 
    0.818182     0.708333 
    0.818182     0.725694 
    0.825901      0.71875 
