#      Train        Test
     38.5742      12.9753 
     12.6037      11.5792 
      12.493      11.7158 
     11.5011      11.0609 
     11.0779      10.4526 
     10.9087      10.1566 
     10.7227      10.8367 
     10.5531      10.4785 
     10.4404      10.4623 
     10.0619      10.4086 
     9.96994      9.78257 
     9.65211      9.95806 
     9.74987      9.77974 
     9.55973      9.65365 
       9.337      9.46141 
      8.9775      9.49612 
     9.07527      9.01715 
     9.04933      9.42212 
     9.01508      9.18849 
     8.75514       8.7748 
     9.22505      9.09399 
     8.64715      8.67712 
     8.62331      8.61556 
      8.7632      9.03413 
     8.38635      8.51655 
     8.23983      8.18781 
      8.1222      7.98121 
     7.97941      7.98385 
     8.09194      8.23139 
     7.97829      8.05639 
     7.81163      7.89391 
     7.77817      8.02491 
     7.50705       7.8902 
     7.69989      8.39716 
     7.54207      7.77544 
     7.58759      7.97223 
     7.72107      7.80687 
     7.42532      8.33231 
     7.48997      7.63745 
     7.31444       7.7446 
     7.17435      7.95722 
     7.09169      7.73408 
     7.36371      7.43526 
     7.13865      8.09317 
     7.24709      7.69975 
     7.14957      7.79875 
     6.98763      7.35368 
     6.98675      8.12552 
     6.88621       7.4218 
     6.78321      7.25284 
     7.00057      7.66664 
     6.72933      7.56513 
     6.75225      7.07187 
     6.88286      7.78952 
     6.61125      7.51327 
     6.50822      7.43641 
     6.57837      7.21824 
     6.46229      7.21072 
     6.34503      7.04983 
     6.62651      6.95324 
     6.44653       7.1046 
     6.53925      7.32679 
     6.28489      7.51498 
     6.58244        8.048 
     6.17005      7.23339 
     6.40573      7.41537 
     6.56228       7.0672 
     6.05309      7.31326 
      6.1365      6.85057 
     6.19292      7.66018 
      6.2125      7.07991 
     5.86973      7.14575 
     6.08566      6.87591 
      5.8917      7.08612 
      5.9773      6.80921 
     5.93503      6.71413 
     5.82933      6.85352 
     5.84783      6.29038 
     5.70086      6.52433 
     5.84072      7.15557 
     5.84135      7.08203 
     6.00095      7.01718 
     5.77651      6.73682 
     5.63549      7.00365 
       5.643      7.03939 
      5.5838      6.99728 
     5.71445      6.96509 
     5.76581      6.89993 
     5.59707      6.84794 
      5.8166       6.8939 
     5.45129      6.56761 
     5.40172      7.00654 
     5.75786      7.64087 
     5.49785      6.60313 
     5.53352      6.22983 
     5.28753      6.60868 
     5.39627      6.92031 
     5.36303      5.96929 
     5.50659       6.9217 
     5.45083      6.70807 
     5.45519      6.64736 
     5.54803      6.56746 
     5.40682      6.76638 
     5.25056         6.65 
     5.25628      6.50923 
     5.21578      6.36044 
      5.3198      7.15822 
      5.2508      6.97207 
     5.46092      6.81799 
     5.32267      6.78107 
     5.11881      6.88781 
     5.26671      6.46249 
      5.0439      6.11018 
     5.16287      6.66595 
     5.24931       6.3968 
     5.28947      6.57422 
      5.1375      6.65808 
     5.16517      6.17696 
     5.10734      6.72963 
     5.11847      5.94443 
     5.08076      6.05965 
     5.08078      6.45064 
     5.01733      6.24514 
     4.93772       6.1937 
     5.07007      6.29273 
       5.017       6.5358 
     5.09967      6.59403 
     4.97661      6.69404 
     4.84207      6.40776 
     5.11972      6.36928 
     4.81295      6.59108 
     5.02228      6.50173 
     4.85381        6.487 
     4.86534      6.19678 
     4.92474      6.41493 
     5.18553      6.52222 
     5.00098      6.73171 
     5.00103      6.28053 
     4.93311      6.08055 
     4.70099      6.18972 
     4.72834      6.27038 
     4.75861      6.08902 
     4.73245      5.90175 
     4.84608      6.12084 
     4.79976      6.06317 
     4.75426      5.97996 
     4.83061      6.06562 
      4.6673      6.61822 
     4.90839      6.32541 
     4.86732      5.95579 
      4.5573      5.82738 
     4.80997      6.02769 
     4.69383      5.84023 
     4.72697      6.09179 
     4.60165      6.31845 
     4.77453      6.10768 
     4.94811       6.3097 
     4.62355      6.57226 
      4.7032      6.05313 
     4.68952      5.69037 
     4.62188      5.98903 
     4.60628      6.13958 
     4.68505       5.5467 
     4.79528      5.87777 
     4.57915      5.92555 
     4.67664       5.9024 
     4.56274      5.94197 
     4.50829      5.85836 
     4.40113      6.29621 
     4.53203      5.89992 
     4.54207       6.2569 
     4.44872      6.10248 
     4.47759      6.18559 
     4.43684      6.19338 
     4.38014      5.90826 
     4.55325      5.98876 
     4.62536      6.15111 
     4.40313      5.60312 
     4.42859      5.74733 
     4.47911      5.97718 
     4.46278      6.29177 
     4.56095      5.83067 
      4.4132      5.87281 
     4.47444      5.97085 
     4.51862      6.66749 
     4.45906       5.7771 
     4.39664      6.00907 
      4.4947      6.20319 
     4.60488         5.65 
     4.37681      5.78036 
     4.27441      6.05544 
     4.41755      6.02514 
     4.38609      5.59615 
     4.30135      6.32571 
     4.48361      6.15372 
      4.4141      5.84848 
     4.32833       5.7761 
     4.27688      6.11069 
     4.23762      5.96963 
     4.43453      6.10318 
     4.36461      5.53183 
     4.31659      5.66437 
     4.20057      5.66995 
     4.34875      6.09369 
      4.1705      6.20265 
     4.32351      5.78065 
     4.39348      6.15768 
     4.28163      5.56787 
     4.36932      5.73421 
     4.15379      5.71957 
     4.25287      5.86193 
     4.28123      5.91327 
     4.18265      5.49207 
     4.00174      5.48464 
     4.17487      5.73286 
     4.13079      5.55754 
     4.24543      5.72959 
     4.25254      5.53713 
     4.17809      5.53879 
       4.231      5.52118 
     4.25559      5.24993 
     4.28523      5.83177 
     4.09072      6.12412 
     4.22638       5.7577 
     4.24687        5.861 
     4.19972      5.98475 
     4.20669      5.56232 
     4.04931      5.85558 
     4.12826      5.85408 
      4.2251       5.7392 
     4.10086      5.50033 
     4.09314      5.68885 
     4.03391      5.52506 
     4.06158      5.60339 
     3.95606       5.3275 
     4.06898       5.4661 
     4.19128      5.55622 
     3.97078        5.353 
     3.97252      5.64444 
     4.01219      5.32329 
     4.01916      5.77087 
     3.93745      5.99751 
     4.00975       5.5202 
