#      Train        Test
     61.0098      12.7236 
       12.57      11.3735 
     11.2532      10.3904 
     11.1012      10.5326 
     10.7707      10.3595 
     10.2927      10.3403 
     10.1324      10.1675 
     9.81359      10.0093 
     9.56699      9.91176 
     9.37772      9.14954 
     9.17504       9.1517 
      9.1984      9.03754 
     8.93495      8.96392 
     8.55723      9.14022 
     8.46233      8.74625 
     8.38078      8.30004 
     8.34338       8.3227 
     8.42733      7.95376 
     8.12699      8.12073 
     8.04117      8.17109 
     8.12399      8.12772 
     7.86182      7.97522 
     7.79903      7.64475 
      7.8976      8.29652 
     7.86108      7.57319 
     7.55625      7.28509 
     7.45123      7.65175 
     7.32313      7.19309 
     7.49808      7.47954 
     7.55868      7.77441 
     7.30726       7.3445 
     7.16198      7.15945 
     7.30135      7.15605 
     7.03737      7.48834 
     7.20523      7.38492 
     7.15616      7.38807 
      7.0566      7.12737 
     7.17236      7.10871 
     6.93665      7.22415 
     6.92399      7.21763 
     6.85913       7.4141 
     6.78212       7.5483 
     6.72329      7.34465 
     6.70165      7.05319 
     6.56141       7.1585 
     6.71922      7.75004 
     6.70006       7.1098 
     6.72252      7.46214 
     6.56616      7.57242 
     6.49894      7.38148 
     6.69346      7.38146 
     6.62048      6.97771 
     6.35087      7.11677 
      6.3494       7.4905 
     6.53808      7.16295 
     6.49279      7.80293 
     6.33243      7.13649 
     6.40285      6.93756 
     6.26302      7.18063 
     6.33818      7.52189 
     6.24325      7.29904 
     6.42809      7.18925 
      6.1809      7.32968 
     6.12782      7.02547 
     6.33271      6.83646 
     6.07559      6.85606 
     6.10585      7.05276 
     6.14894      6.96326 
      6.1762      7.13352 
     6.11537      6.88928 
     6.25249      6.69888 
     5.92781      6.96729 
     6.06463      6.74108 
     6.16658       6.7711 
     5.93326      6.78848 
     5.82244        6.854 
      5.9321      7.25997 
     6.02661      6.64513 
     5.88675      7.00975 
     5.74142      7.09017 
      5.8219      6.59984 
      5.8111      6.98057 
     5.76067      6.81522 
     5.99378      7.29141 
       5.816      7.18554 
     5.71923      6.87362 
      5.5755      6.78672 
      5.8575      6.95262 
     5.60536      6.91251 
     5.74112      7.03068 
     5.78917      6.93651 
      5.6061      6.61798 
     5.75716      6.77566 
     5.71406      6.87247 
     5.73118      6.89036 
     5.60699      6.90973 
     5.50409      7.57363 
      5.6462      6.87696 
     5.45008      7.02701 
     5.58731      6.73748 
     5.43667      6.73741 
     5.50287      7.03594 
     5.47034      6.93807 
     5.54944       6.6426 
     5.56575      6.42033 
     5.44504      7.24752 
      5.4672      7.04356 
     5.44354       6.8279 
     5.34701       6.9761 
     5.36024      6.62273 
     5.27422      6.69597 
     5.28816      6.94611 
     5.34986      7.06657 
     5.16631      7.16598 
     5.38135      6.92073 
     5.43711      7.01194 
     5.24129      7.14719 
     5.26907      6.87629 
     5.35408      6.73045 
     5.16765      6.79308 
      5.2287      6.72876 
     5.26389      6.91431 
     5.26549      6.51458 
     5.30754      6.53778 
     5.21265      6.38551 
      5.2596      6.90557 
     5.21079      6.49438 
      5.0554      6.63676 
     5.37794      6.66634 
     5.28679       6.3225 
     5.08286      6.43833 
     5.16341      6.55949 
     5.23078      6.96651 
     5.13761      6.33442 
     5.21269      6.62006 
     5.36413      6.49763 
     5.06913      6.71533 
     4.95935      6.57524 
     5.07155      6.34426 
     5.05105      6.20821 
     5.27813      6.41714 
     5.00618       6.3415 
     5.07199      6.53386 
      4.9619      6.53352 
     5.06614      6.67366 
     4.98318       6.5231 
     4.99837      6.66011 
     5.06464       6.2891 
     4.94651      6.55278 
     4.92966      6.23773 
     4.98927      6.53304 
      5.0223      6.34319 
     5.00355      6.25485 
     4.86629      6.18634 
     4.84665      6.52245 
     4.92886      6.73385 
     4.97124      5.99888 
     5.03958      6.27684 
     4.96816       6.3728 
      4.9845      6.56629 
     5.01956       6.3671 
     4.93385      6.32265 
     4.86184       6.4231 
     4.96948      6.69549 
     4.96137      6.41036 
     4.90595      6.66645 
     4.88366      6.72303 
     4.97149      6.24773 
     4.84033      6.48623 
      4.8254      6.60851 
     4.72297      6.44203 
     4.74809      6.10231 
     4.91643       5.9942 
     4.77325       6.7776 
     4.72375      6.41498 
     4.77486      6.67616 
     4.78547      6.37836 
     4.74229      6.15042 
     4.71836      6.42216 
     4.87762      6.35267 
     4.76291      6.57306 
     4.63021      6.18473 
     4.78829      5.99547 
     4.77846      6.51366 
     4.75002      6.53909 
      4.6292      6.31505 
       4.622      6.34714 
     4.72656      6.58491 
     4.76375      6.52741 
     4.69446      6.51262 
     4.77818      6.41595 
     4.73863      6.07599 
     4.72187      6.19947 
     4.70034      6.60955 
     4.72125      6.51095 
     4.72843      6.89598 
     4.74088      6.68681 
     4.63269      6.65416 
     4.66829      6.26521 
     4.53611      6.20716 
     4.63441      6.09404 
     4.54381      6.60264 
     4.63381      6.32383 
     4.57306      6.13566 
     4.67308      6.45709 
     4.55191      6.31419 
     4.59849      6.49321 
     4.59246       6.2701 
     4.61137      6.25301 
     4.52487      6.28241 
     4.52764      5.99323 
      4.5654      6.33796 
     4.57063      6.43317 
     4.57337      6.16033 
     4.57155      6.34722 
     4.67713      6.54737 
     4.51673      6.31364 
     4.47765      6.20258 
     4.56145      6.37625 
     4.44882      6.22596 
     4.54489      6.38181 
     4.44095      6.39712 
     4.62549      6.21729 
     4.51866      6.76995 
     4.57537      6.36122 
     4.51246      6.28787 
     4.50555      6.07498 
     4.42654      6.13778 
     4.48385      6.18934 
     4.54126      6.22263 
     4.51123      6.66033 
      4.4473      6.17727 
     4.46582      6.38705 
     4.52147      6.09577 
     4.46785      5.98927 
     4.36957      6.02074 
     4.47377      6.27081 
     4.50759      6.00134 
     4.38535      6.02091 
     4.41371      6.12588 
      4.4808      6.11392 
     4.43821      6.14851 
     4.49386      6.40928 
     4.48606      6.01572 
      4.4868      6.11502 
      4.4777      6.42479 
      4.4412      6.06714 
     4.42422      5.86108 
      4.3639      5.99826 
     4.37351      6.15947 
     4.40302       5.8216 
     4.47606      6.39585 
     4.48748      6.40662 
     4.35598      5.78305 
     4.44985      6.21981 
      4.4749      5.86285 
     4.27354      5.97739 
     4.34056      6.01377 
     4.34442      6.04548 
     4.33787      6.57003 
     4.36589      6.06304 
     4.37692         6.18 
     4.38697        6.145 
      4.3994      6.18155 
     4.31457      6.05387 
     4.30617      5.95351 
     4.37577      5.92732 
     4.23324      6.25097 
     4.35248      6.02891 
     4.33602      5.95013 
     4.34572      6.42275 
     4.28473      5.84042 
     4.26416      5.92282 
     4.37792      6.65459 
     4.33153      6.26814 
     4.27769      6.34028 
     4.31636       6.1682 
     4.26793      6.21452 
     4.18172      6.16641 
     4.31425      5.85404 
     4.23246      6.06566 
     4.21387      5.92549 
     4.27748      5.93679 
     4.20114      6.12221 
      4.2241      5.90779 
     4.18057      6.22722 
      4.1585      5.88427 
     4.20109      6.03939 
     4.17565      6.11678 
     4.22095       5.7905 
     4.35879      6.07488 
     4.19929      6.13046 
